name	code	sink_below	lst_date	lot_size	mkt_cap	off_price	lst_price	over_sub_rate	one_lot	one_lot_suc_rate	last	first_per	acc_per
中國石墨	02237.HK	0	2022/07/18	10,000	29.44	0.325	0.325	25.5	15	0.3	0.360	1.4308	0.1077
博維智慧	01204.HK	0	2022/07/15	2,000	24.00	1.08	1.080	9.7	20	0.3	2.420	0.1296	1.2407
微創腦科學	02172.HK	1	2022/07/15	1,000	156.15	24.64	24.640	44.3	25	0.049	9.660	-0.0016	-0.6079
德銀天下	02418.HK	1	2022/07/15	1,500	50.31	1.8	1.800	-1	1	1.0	1.300	0.0	-0.2778
湖州燃氣	06661.HK	1	2022/07/13	500	12.63	6.08	6.080	7.1	12	0.15	5.000	-0.079	-0.1776
諾亞控股	06686.HK	1	2022/07/13	20	9.17	292	292.000	2.3	1	1.0	17.300	-0.0445	-0.9407
天齊鋰業	09696.HK	1	2022/07/13	200	1,456.58	82	82.000	8.3	1	1.0	29.400	0.0	-0.6415
名創優品	09896.HK	0	2022/07/13	200	751.22	13.8	13.800	0.4	2	0.869	34.400	-0.0304	1.4928
中康控股	02361.HK	1	2022/07/12	500	32.12	5.36	5.360	1.2	3	0.5	4.600	0.0	-0.1418
讀書郎	02385.HK	1	2022/07/12	400	36.04	7.6	7.600	0.7	1	1.0	6.630	-0.0526	-0.1276
潤邁德－Ｂ	02297.HK	1	2022/07/08	1,000	71.24	6.24	6.240	5.4	15	0.2	0.142	-0.1538	-0.9772
魯商服務	02376.HK	1	2022/07/08	500	7.11	5.92	5.920	6.4	30	0.33	1.500	-0.2517	-0.7466
玄武雲	02392.HK	1	2022/07/08	500	45.78	6.24	6.240	41.1	20	0.052	0.870	0.0064	-0.8606
智雲健康	09955.HK	1	2022/07/06	100	180.22	30.5	30.500	6.9	4	0.5	1.290	-0.0754	-0.9577
塗鴉智能－Ｗ	02391.HK	1	2022/07/05	200	127.52	19.3	19.300	9.0	9	0.18	14.880	0.0	-0.229
金融壹賬通	06638.HK	0	2022/07/04	500	-1	-1	-1	-1	-1	-1	0.650	-1	-1
天潤雲	02167.HK	1	2022/06/30	200	27.67	12.85	12.850	0.2	2	0.9	2.390	-0.0008	-0.814
偉立控股	02372.HK	1	2022/06/30	4,000	5.84	0.63	0.630	10.4	20	0.054	0.240	0.0	-0.619
快狗打車	02246.HK	1	2022/06/24	200	142.49	21.5	21.500	3.1	1	1.0	0.490	-0.2223	-0.9772
美因基因	06667.HK	1	2022/06/22	200	50.24	18	18.000	8.6	20	0.1	7.530	0.0	-0.5817
友和集團	02347.HK	1	2022/06/10	2,000	12.25	2.1	2.100	7.4	20	0.2	0.560	0.0	-0.7333
VISION DEAL-Z 	07827.HK	1	2022/06/10	110,000	12.29	10	10.000	-1	-1	-1	9.430	-0.011	-0.057
雲康集團	02325.HK	1	2022/05/18	500	119.16	7.89	7.890	0.4	1	1.0	7.200	0.0773	-0.0874
