
綠竹生物－Ｂ	02480.HK	跌穿上市價	2023/05/08	200	32.68-85.03	32.8	32.800	2.3	6手	50.0%	20.950	-32.930%	-36.128%
梅斯健康	02415.HK	跌穿上市價	2023/04/27	250	3.70-81.73	9.1	9.100	8.9	8手	20.0%	0.780	+1.100%	-91.429%
珍酒李渡	06979.HK	跌穿上市價	2023/04/27	200	181.89-431.16	10.82	10.820	0.9	1手	100.0%	6.580	-17.930%	-39.187%
陸控	06623.HK		2023/04/14	100	N/A	N/A	N/A	N/A	N/A	N/A	9.600	N/A	N/A
北森控股	09669.HK	跌穿上市價	2023/04/13	200	21.17-213.16	29.7	29.700	15.6	8手	25.0%	4.180	-12.120%	-85.926%
力盟科技	02405.HK		2023/03/31	4,000	4.88-58.16	0.7	0.700	12.5	20手	25.0%	2.370	+20.000%	+238.571%
中寶新材	02439.HK	跌穿上市價	2023/03/31	2,000	2.00-29.30	1.05	1.050	5.3	1手	100.0%	0.250	-35.240%	-76.190%
中天湖南集團	02433.HK	跌穿上市價	2023/03/30	2,000	0.65-15.36	1.18	1.180	9.6	9手	40.0%	0.143	+126.270%	-87.881%
洲際船務	02409.HK		2023/03/29	1,000	10.23-21.50	3.27	3.270	0.1	1手	100.0%	4.090	-21.100%	+25.076%
達勢股份	01405.HK		2023/03/28	100	54.39-106.58	46	46.000	認購不足	1手	100.0%	73.200	-0.110%	+59.130%
嘉創地產	02421.HK		2023/03/23	2,000	N/A	N/A	N/A	N/A	N/A	N/A	0.610	N/A	N/A
九方智投控股	09636.HK		2023/03/10	500	26.38-137.96	17	17.000	1.6	1手	100.0%	27.600	+0.820%	+62.353%
維天運通	02482.HK	跌穿上市價	2023/03/09	1,000	8.36-41.12	2.9	2.900	22.1	8手	30.0%	0.850	-2.070%	-70.690%
淮北綠金股份	02450.HK	跌穿上市價	2023/01/20	1,500	1.06-4.22	1.91	1.910	11.3	6手	30.0%	1.620	-44.500%	-15.183%
樂華娛樂	02306.HK	跌穿上市價	2023/01/19	3,000	3.75-71.93	4.08	4.080	27.7	40手	50.0%	0.660	+47.790%	-83.824%
潤華服務	02455.HK	跌穿上市價	2023/01/17	2,000	1.11-4.41	1.7	1.700	7.7	15手	20.0%	0.550	-25.880%	-67.647%
昇能集團	02459.HK	跌穿上市價	2023/01/17	2,000	1.40-231.00	1.6	1.600	8.9	15手	7.7%	0.260	+11.250%	-83.750%
美麗田園醫療健康	02373.HK	跌穿上市價	2023/01/16	500	22.20-77.86	19.32	19.320	21.1	2手	55.0%	17.200	+53.470%	-10.973%
百果園集團	02411.HK	跌穿上市價	2023/01/16	500	20.33-113.10	5.6	5.600	11.2	16手	20.0%	1.290	+7.140%	-76.964%
望塵科技控股	02458.HK	跌穿上市價	2023/01/16	400	3.09-10.29	6.5	6.500	2.4	3手	50.0%	4.000	-11.540%	-38.462%
正味集團	02147.HK	跌穿上市價	2023/01/13	4,000	0.26-23.20	0.68	0.680	17.3	1手	100.0%	0.044	-17.650%	-93.529%
億華通	02402.HK	跌穿上市價	2023/01/12	50	22.08-42.21	60	60.000	認購不足	1手	100.0%	21.850	0.000%	-63.583%
